Symbol;Position;Type;Open time;Open price;Close time;Close price;Profit;Net profit
EURUSD;1091915897;Buy Stop;28.09.2023 14:30:23;1.05409;28.09.2023 14:44:57;1.05341;-2.99;-2.99
USDCHF;1091841842;Sell Stop;28.09.2023 13:29:38;0.91855;28.09.2023 14:44:52;0.91862;-0.34;-0.34
AUDUSD;1091841663;Buy Stop;28.09.2023 13:29:33;0.63916;28.09.2023 14:42:32;0.63895;-0.92;-0.92
EURJPY;1091916066;Buy Stop;28.09.2023 14:30:25;157.437;28.09.2023 14:30:56;157.333;-3.06;-3.06
EURUSD;1091875397;Buy Stop;28.09.2023 13:59:35;1.05411;28.09.2023 14:30:11;1.05309;-4.49;-4.49
GBPUSD;1091912493;Buy Stop;28.09.2023 14:28:41;1.22048;28.09.2023 14:30:11;1.21942;-4.66;-4.66
EURJPY;1091841641;Buy Stop;28.09.2023 13:29:27;157.406;28.09.2023 14:10:36;157.306;-2.94;-2.94
EURJPY;1091551422;Sell Stop;28.09.2023 09:12:10;156.85;28.09.2023 09:17:37;156.95;-2.95;-2.95
AUDUSD;1090180622;Sell Limit;27.09.2023 09:28:03;0.63829;27.09.2023 19:11:03;0.63539;12.79;12.79
EURUSD;1089594189;Sell Limit;26.09.2023 18:12:05;1.0575;27.09.2023 13:18:34;1.05444;13.42;13.47
USDCHF;1090198620;Sell Stop;27.09.2023 09:45:22;0.91597;27.09.2023 11:10:26;0.91697;-4.76;-4.76
EURUSD;1089184261;Buy Stop;26.09.2023 15:06:13;1.06021;26.09.2023 15:19:36;1.05915;-4.61;-4.61
GBPUSD;1088784793;Sell Stop;26.09.2023 09:39:24;1.21761;26.09.2023 10:17:55;1.21859;-4.27;-4.27
NZDUSD;1088767633;Sell Stop;26.09.2023 09:30:02;0.59444;26.09.2023 10:03:02;0.5956;-5.05;-5.05
USDJPY;1088767202;Buy Stop;26.09.2023 09:29:45;149.069;26.09.2023 09:52:41;148.968;-2.95;-2.95
AUDUSD;1088767296;Sell Stop;26.09.2023 09:29:50;0.63948;26.09.2023 09:44:41;0.64058;-4.79;-4.79
USDJPY;1086161202;Buy Stop;22.09.2023 09:59:52;148.269;22.09.2023 11:33:06;148.169;-2.92;-2.92
EURJPY;1083381621;Buy Stop;20.09.2023 11:32:20;158.303;20.09.2023 12:42:59;158.201;-2.99;-2.99
USDJPY;1083311924;Buy Stop;20.09.2023 10:21:12;148.114;20.09.2023 11:09:27;148.013;-2.97;-2.97
EURUSD;1081991589;Sell Stop;19.09.2023 08:47:39;1.06795;19.09.2023 09:46:32;1.06898;-4.48;-4.48
USDJPY;1082004255;Buy Stop;19.09.2023 09:01:54;147.824;19.09.2023 09:37:55;147.731;-2.74;-2.74
USDJPY;1080997192;Sell Stop;18.09.2023 10:28:31;147.696;19.09.2023 06:46:01;147.795;-2.91;-3.67
